Freq.	V(n003)
1.00000000000000e+002	9.99997109084308e-001,-1.33265885584763e-003
1.12201845430196e+002	9.99996878402562e-001,-1.49526774149562e-003
1.25892541179417e+002	9.99996587991452e-001,-1.67771787570042e-003
1.41253754462275e+002	9.99996222385530e-001,-1.88243024195662e-003
1.58489319246111e+002	9.99995762114947e-001,-2.11212122224054e-003
1.77827941003892e+002	9.99995182668621e-001,-2.36983863852601e-003
1.99526231496888e+002	9.99994453188927e-001,-2.65900219097802e-003
2.23872113856834e+002	9.99993534828420e-001,-2.98344882886616e-003
2.51188643150958e+002	9.99992378681067e-001,-3.34748365546743e-003
2.81838293126445e+002	9.99990923177828e-001,-3.75593704134147e-003
3.16227766016838e+002	9.99989090807880e-001,-4.21422870229056e-003
3.54813389233575e+002	9.99986783990896e-001,-4.72843959009692e-003
3.98107170553497e+002	9.99983879880545e-001,-5.30539254689925e-003
4.46683592150963e+002	9.99980223822495e-001,-5.95274278908665e-003
5.01187233627272e+002	9.99975621118536e-001,-6.67907941522250e-003
5.62341325190348e+002	9.99969826658235e-001,-7.49403927625423e-003
6.30957344480193e+002	9.99962531865987e-001,-8.40843470671938e-003
7.07945784384137e+002	9.99953348268350e-001,-9.43439679451992e-003
7.94328234724280e+002	9.99941786806606e-001,-1.05855360658694e-002
8.91250938133744e+002	9.99927231792878e-001,-1.18771226830000e-002
9.99999999999999e+002	9.99908908122984e-001,-1.33262884968655e-002
1.12201845430196e+003	9.99885840000012e-001,-1.49522535669096e-002
1.25892541179417e+003	9.99856798970741e-001,-1.67765800561592e-002
1.41253754462275e+003	9.99820238507826e-001,-1.88234567329157e-002
1.58489319246111e+003	9.99774211654449e-001,-2.11200176596296e-002
1.77827941003892e+003	9.99716267346279e-001,-2.36966990229191e-002
1.99526231496888e+003	9.99643319890507e-001,-2.65876384514311e-002
2.23872113856833e+003	9.99551484652667e-001,-2.98311215718945e-002
2.51188643150957e+003	9.99435871203393e-001,-3.34700809543635e-002
2.81838293126445e+003	9.99290322912976e-001,-3.75526529733533e-002
3.16227766016837e+003	9.99107089131893e-001,-4.21327984288789e-002
3.54813389233575e+003	9.98876412508379e-001,-4.72709929801873e-002
3.98107170553496e+003	9.98586009479497e-001,-5.30349934712990e-002
